feature,importance
worst_area,0.1439162676238985
worst_perimeter,0.14056006789708847
worst_concave_points,0.10367290067958802
mean_concave_points,0.10202627034409947
worst_radius,0.07953390598215349
mean_perimeter,0.055113945873341695
mean_radius,0.052951812847939816
mean_concavity,0.0505673347985115
worst_concavity,0.03822635192657164
mean_area,0.03661865802053389
area_error,0.03182832249348943
worst_texture,0.017552243321589684
worst_compactness,0.016628733742153814
mean_compactness,0.01628397201881486
radius_error,0.013836913326669531
worst_smoothness,0.013454509014716077
mean_texture,0.013432762452256016
worst_symmetry,0.012891314431927602
perimeter_error,0.01002772250669412
mean_smoothness,0.007011284581462755
concavity_error,0.005659779245100899
concave_points_error,0.005260140439466794
worst_fractal_dimension,0.00482291154791808
texture_error,0.004703646479512212
fractal_dimension_error,0.004436722524642758
compactness_error,0.004321995818325631
smoothness_error,0.003881950772259961
mean_fractal_dimension,0.0036493512035295113
symmetry_error,0.003597285325239485
mean_symmetry,0.0035309227605043597
